title,release_date,runtime,overview,vote_average
Block Z,2020-01-29,101,"A pre-med student and her friends encounter the death of a patient that exhibited symptoms of rabies. They are soon faced with an even bigger problem as their patient comes back from the dead and infects the people on campus, causing a lockdown and trapping the students inside.",8.0
The Curse of Captain Silverbeard,2021-12-21,31,An incompetent young archeologist pursues a mythical sword,8.6
Foreign Prayer,2017-05-18,92,"Nazi-occupied Crimea, 1944. A boy named Itzhak turns to Saide Arifova, a local Tatar Muslim woman, for help, explaining that he and a group of other Jewish orphans are hiding from the Nazis. Arifova faces a moral dilemma: should she try to help them or save herself by refusing? Despite the impending danger, she decides to protect the children by hiding them in plain sight, and disguising them as Tatars and adopting them into the local community.",8.3
7 Months Pregnant,2016-08-17,90,Revenge may have irreversible consequences.,8.0
Eric Clapton's Crossroads Guitar Festival 2010,2010-06-26,279,"Often credited as being one of the all-time greatest guitarists, and known amongst his peers as one of the all-time greatest collaborators. The ultimate Clapton collaboration took place on June 26, 2010 at Chicago's Toyota Park. For one day only, Clapton gathered the past, present, and future of guitar music onto one stage for an incredible all-day musical event in front of a crowd of over 27,000.",8.4
The Last Petal,1977-07-11,27,"Zhenya is a young girl who find a old beautiful house in the city when she followed a dog that he stole her donuts. At the old house, a old woman lives. The old woman offers to Zhenya a magic flower. When Zhenya pull up a petal of the flower, she can make a wish. In this moment, Zhenya should decide correctly her wishes.",8.2
Be Astonished,2014-10-01,62,"When Jeremy Higgs, an independent documentary film maker from Chicago, IL, meets 28-year-old athlete Stephen Saprid, he is so impressed he has to share his story with the world. Stephen Saprid is a Filipino American athlete who is a contestant of the TV show American Ninja Warrior. He has acquired the skills and techniques needed to conquer any obstacles and challenges, from practicing holistic training discipline from Parkour and core strength and conditioning program from Crossfit. He has earned a degree in college allowing him to serve, save and protect real individuals not only in a professional setting but also wherever he may be. He is dedicated and will never give up on his dreams!",8.3
Katyar Kaljat Ghusali,2015-11-12,162,"Katyar Kaljat Ghusli is a 2015 Marathi film based on a play by the same name. Directed by Subodh Bhave, the film stars Sachin Pilgaonkar, Shankar Mahadevan, and Subodh Bhave in lead roles. The film marks the acting debut for Mahadevan and directorial debut for Bhave. The original play premiered in 1967 in Mumbai, where Hindustani classical vocalist Vasantrao Deshpande played one of the protagonists. In 2010, the play was relaunched with protagonists essayed by Rahul Deshpande, grandson of Vasantrao Deshpande and singer Mahesh Kale. The film's music is composed by Shankar–Ehsaan–Loy, and retained some of the songs from the original play composed by Jitendra Abhisheki.",9.2
D'Unbelievables D'Telly,1998-01-01,53,Irish Comedy Starring Jon Kenny &amp; Pat Shortt,9.4
Away From Home - The Global Streaming Event,2021-09-04,118,"Join Louis Tomlinson as he undertakes his most ambitious project to date, The Away From Home Festival 2021. Following the postponement of his World Tour in 2020, Louis has announced plans to launch his own free festival in London to celebrate the return of live music in the UK. Directed by Charlie Lightening, and featuring unprecedented access, a fly-on-the-wall short film showing Louis and his team as they plan, and prepare for this momentous event. From early planning, through to the day of the show, and including unparalleled behind the scenes footage, follow Louis on the journey to The Away From Home Festival.  Then watch as Louis and his band take to the stage performing a full headline set from London's famous Crystal Palace Bowl, their first show in front of a live audience for 18 months. As the show ends, follow backstage as Louis, his band, crew and team celebrate a return to live music.",9.8
D'Unbelievables D'Mother,2001-02-11,60,Irish Comedy starring Jon Kenny &amp; Pat Shortt,8.5
Circle,2021-12-25,9,This short film follows a man lost in the woods driven by his fear of the unknown.,10.0
The Bigger Swallow,2023-10-20,1,"In an homage to James Williamson's silent short The Big Swallow (1901), the new, bigger swallower (Wilfred Hart) gets a right mouthful of the auteur (Christopher Wighton) after he crosses the line by filming him without his consent.",9.75
Shah,2015-08-13,109,"This film covers the story of this Legend's journey from homeless child in the streets of Layari,Karachi to become Olympian for his country PAKISTAN.",8.2
Armaan: Story of a Storyteller,2017-02-10,107,The movie narrates a simple but the most indispensable message of life --- KARMA --- One should always only focus on his work/karma that he is destined to do - Hard work and perseverance are the keys to Success whereas people often go off track by focusing on taking revenge.,9.2
